Causes,AI/AN Rate 2009-2011,U.S. All Races Rate - 2010,Ratio: AI/AN to U.S. All Races
ALL CAUSES,999.1,747,1.3
Diseases of the heart (Heart Disease),194.7,179.1,1.1
Malignant neoplasm (cancer),178.4,172.8,1
Accidents (unintentional injuries),93.7,38,2.5
Diabetes mellitus (diabetes),66,20.8,3.2
Alcohol-induced,50,7.6,6.6
Chronic lower respiratory diseases,46.6,42.2,1.1
Cerebrovascular diseases (stroke),43.6,39.1,1.1
Chronic liver disease and cirrhosis,42.9,9.4,4.6
Influenza and pneumonia,26.6,15.1,1.8
Drug-induced,23.4,15.3,1.5
"Nephritis, nephrotic syndrome (kidney disease)",22.4,15.3,1.5
Intentional self-harm (suicide),20.4,12.1,1.7
Alzheimer's disease,18.3,25.1,0.7
Septicemia,17.3,10.6,1.6
Assault (homicide),11.4,5.4,2.1
Essential hypertension diseases,9,8,1.1
