State,Uninsured,Percentage An/AI Uninsured,Total AN and AI Population,AN/AI Pop. Percentage,Total Population
Alaska,11400,9.99,114121,15.6,731545
Arizona,41600,10.78,385772,5.3,7278717
Arkansas,2500,8.28,30178,1,3017804
California ,8400,1.33,632195,1.6,39512223
Colorado,2400,2.6,92139,1.6,5758736
Connecticut,**,**,**,**,**
Delaware,**,**,**,**,**
District of Columbia ,**,**,**,**,**
Hawaii,**,**,**,**,**
Idaho,1300,4.28,30380,1.7,1787065
Illinois ,600,0.79,76030,0.6,12671821
Indiana ,400,1.49,26928,0.4,6732219
Iowa ,1500,9.51,15775,0.5,3155070
Kentucky ,200,1.49,13403,0.3,4467673
Louisiana ,800,2.15,37190,0.8,4648794
Maine,100,1.06,9409,0.7,1344212
Maryland,**,**,**,**,**
Massachusetts ,**,**,**,**,**
Michigan,2800,4.01,69907,0.7,9986857
Minnesota,4300,5.45,78954,1.4,5639632
Missouri ,1600,4.34,36824,0.6,6137428
Montana,10700,14.94,71608,6.7,1068778
Nebraska ,2400,8.27,29016,1.5,1934408
Nevada,1100,2.1,52362,1.7,3080156
New Hampshire ,**,**,**,**,**
New Jersey ,**,**,**,**,**
New Mexico ,18800,8.15,230651,11,2096829
New York ,2800,1.44,194535,1,19453561
North Dakota ,5400,17.16,31475,5.6,562062
Ohio ,200,0.57,35067,0.3,11689100
Oklahoma,35100,9.95,352626,9.4,3751351
Oregon ,2400,3.16,75919,1.8,4217737
Pennsylvania ,400,0.78,51207,0.4,12801989
Rhode Island ,**,**,**,**,**
Utah,6700,13.06,51295,1.6,3205958
Vermont,**,**,**,**,**
Virginia ,800,1.87,42677,0.5,8535519
Washington,6100,4.22,144682,1.9,7614893
West Virginia ,**,**,**,**,**
Total ,172800,4.05,4267113,1.3,328239523
