State,Uninsured
Alaska,11400
Arizona,41600
Arkansas,2500
California ,8400
Colorado,2400
Connecticut,**
Delaware,**
District of Columbia ,**
Hawaii,**
Idaho,1300
Illinois ,600
Indiana ,400
Iowa ,1500
Kentucky ,200
Louisiana ,800
Maine,100
Maryland,**
Massachusetts ,**
Michigan,2800
Minnesota,4300
Missouri ,1600
Montana,10700
Nebraska ,2400
Nevada,1100
New Hampshire ,**
New Jersey ,**
New Mexico ,18800
New York ,2800
North Dakota ,5400
Ohio ,200
Oklahoma,35100
Oregon ,2400
Pennsylvania ,400
Rhode Island ,**
Utah,6700
Vermont,**
Virginia ,800
Washington,6100
West Virginia ,**
Total ,172800
